rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1348,7269493,K01961.01,Kepler-1027 b,CONFIRMED,CANDIDATE,1,0,0,0,0,1.907810683,3.17E-06,-3.17E-06,131.63784,1.41E-03,-1.41E-03,0.41,0.037,-0.41,1.8707,0.0447,-0.0447,1.21E+02,3.50E+00,-3.50E+00,0.91,9.00E-02,-4.00E-02,1268,,,609.28,188.3,-95.41,40.9,1,q1_q17_dr25_tce,5435,97,-119,4.578,0.01,-0.095,0.824,0.086,-0.033,287.57117,42.813919,12.852
1352,11657891,K01965.01,Kepler-1028 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.514628496,4.43E-06,-4.43E-06,132.90904,1.43E-03,-1.43E-03,0.247,0.218,-0.247,1.6239,0.0517,-0.0517,2.28E+02,8.20E+00,-8.20E+00,1.27,3.10E-01,-1.10E-01,1217,,,517.89,376.64,-126.58,33.3,1,q1_q17_dr25_tce,5662,152,-152,4.56,0.031,-0.168,0.84,0.207,-0.069,289.59308,49.781158,14.325
1353,6305192,K00219.01,Kepler-494 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.025118521,3.17E-06,-3.17E-06,132.469133,3.25E-04,-3.25E-04,0.454,0.042,-0.323,5.3694,0.0396,-0.0396,3.12E+03,1.06E+01,-1.06E+01,7.79,1.37E+00,-1.37E+00,1093,,,336.73,167.37,-125.86,373,1,q1_q17_dr25_tce,6002,120,-120,4.196,0.162,-0.108,1.369,0.241,-0.241,297.21408,41.66404,14.153
1354,6382217,K02036.02,Kepler-353 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.79529495,3.62E-05,-3.62E-05,136.77974,5.46E-03,-5.46E-03,0.714,0.236,-0.493,2.272,0.147,-0.147,3.34E+02,2.60E+01,-2.60E+01,1.05,6.00E-02,-7.00E-02,534,,,19.23,3.97,-4.03,14.8,2,q1_q17_dr25_tce,3757,75,-83,4.718,0.039,-0.024,0.539,0.03,-0.038,296.85663,41.758179,15.773
1357,8950568,K02038.01,Kepler-85 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.30537702,3.94E-05,-3.94E-05,139.7437,4.40E-03,-4.40E-03,0.489,0.634,-0.489,3.751,0.601,-0.601,3.66E+02,2.66E+01,-2.66E+01,1.69,1.80E-01,-1.30E-01,809,,,101.43,32.2,-21.9,28.5,1,q1_q17_dr25_tce,5435,109,-109,4.495,0.063,-0.077,0.873,0.09,-0.068,290.97342,45.290321,14.779
1358,3326377,K01830.01,Kepler-967 b,CONFIRMED,CANDIDATE,1,0,0,0,0,13.22714056,2.73E-05,-2.73E-05,142.20251,1.66E-03,-1.66E-03,0.013,0.406,-0.013,3.2861,0.051,-0.051,8.12E+02,1.78E+01,-1.78E+01,2.22,1.50E-01,-1.20E-01,638,,,39.1,9.11,-6.79,51.8,1,q1_q17_dr25_tce,5180,103,-103,4.548,0.036,-0.054,0.8,0.054,-0.043,286.55807,38.405369,14.443
1359,11601584,K01831.01,Kepler-324 c,CONFIRMED,CANDIDATE,1,0,0,0,0,51.8098276,2.29E-04,-2.29E-04,182.97335,3.27E-03,-3.27E-03,0.273,0.668,-0.597,6.343,0.454,-0.454,1.03E+03,2.32E+01,-2.32E+01,2.6,1.90E-01,-1.60E-01,410,,,6.71,1.66,-1.25,56.8,1,q1_q17_dr25_tce,5191,103,-103,4.53,0.044,-0.055,0.826,0.061,-0.05,286.47147,49.649021,14.122
1360,11601584,K01831.02,Kepler-324 b,CONFIRMED,CANDIDATE,0.95,0,0,0,0,4.38536428,1.37E-05,-1.37E-05,139.22548,2.58E-03,-2.58E-03,0.335,0.117,-0.335,2.5126,0.0777,-0.0777,1.99E+02,8.50E+00,-8.50E+00,1.15,9.00E-02,-7.00E-02,935,,,180.22,44.6,-33.41,25.9,2,q1_q17_dr25_tce,5191,103,-103,4.53,0.044,-0.055,0.826,0.061,-0.05,286.47147,49.649021,14.122
1363,8689793,K01893.01,Kepler-1003 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.554856338,6.66E-06,-6.66E-06,131.80398,1.59E-03,-1.59E-03,0.331,0.093,-0.331,2.1004,0.0428,-0.0428,2.33E+02,6.70E+00,-6.70E+00,1.29,3.70E-01,-1.00E-01,1157,,,425.04,359.93,-100.9,40.8,1,q1_q17_dr25_tce,6068,163,-181,4.565,0.036,-0.204,0.831,0.24,-0.06,292.02045,44.876221,14.053
1364,11673802,K01894.01,Kepler-1004 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.28790754,1.13E-05,-1.13E-05,135.36119,1.80E-03,-1.80E-03,0.474,0.354,-0.273,8.5274,0.0591,-0.0591,3.44E+02,4.30E+00,-4.30E+00,7.1,3.50E-01,-9.60E-01,1661,,,1802.31,262.7,-548.56,90.6,1,q1_q17_dr25_tce,4994,52,-89,3.433,0.02,-0.024,3.818,0.185,-0.517,297.35928,49.79755,13.427
1365,4263293,K01895.01,Kepler-331 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.45746636,3.05E-05,-3.05E-05,133.87132,2.98E-03,-2.98E-03,0.209,0.253,-0.209,2.2906,0.0941,-0.0941,1.32E+03,6.74E+01,-6.74E+01,1.87,1.60E-01,-1.60E-01,540,,,20.08,6.25,-5.4,21.8,1,q1_q17_dr25_tce,4347,117,-143,4.73,0.05,-0.041,0.524,0.045,-0.045,291.83432,39.307362,15.862
1366,4263293,K01895.02,Kepler-331 c,CONFIRMED,CANDIDATE,1,0,0,0,0,17.28116957,9.00E-05,-9.00E-05,136.00718,4.01E-03,-4.01E-03,0.206,0.271,-0.206,2.829,0.137,-0.137,1.56E+03,8.33E+01,-8.33E+01,2.04,1.70E-01,-1.80E-01,425,,,7.75,2.41,-2.08,20.3,2,q1_q17_dr25_tce,4347,117,-143,4.73,0.05,-0.041,0.524,0.045,-0.045,291.83432,39.307362,15.862
1367,4263293,K01895.03,Kepler-331 d,CONFIRMED,FALSE POSITIVE,0.243,0,1,0,0,32.1340014,2.55E-04,-2.55E-04,142.27582,6.67E-03,-6.67E-03,0.256,0.191,-0.256,2.691,0.205,-0.205,1.26E+03,1.16E+02,-1.16E+02,1.84,1.50E-01,-1.60E-01,346,,,3.39,1.05,-0.92,11.8,3,q1_q17_dr25_tce,4347,117,-143,4.73,0.05,-0.041,0.524,0.045,-0.045,291.83432,39.307362,15.862
1369,6205897,K01967.01,Kepler-1029 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.417692516,9.04E-06,-9.04E-06,133.96139,1.59E-03,-1.59E-03,0.971,0.043,-0.685,2.323,0.122,-0.122,2.79E+02,9.00E+00,-9.00E+00,1.57,9.00E-02,-6.00E-02,790,,,92.16,17.36,-12.69,35.1,1,q1_q17_dr25_tce,4766,77,-77,4.645,0.015,-0.039,0.664,0.037,-0.027,292.13297,41.547539,14.31
1372,9650808,K01970.01,Kepler-344 b,CONFIRMED,CANDIDATE,1,0,0,0,0,21.96401646,6.96E-05,-6.96E-05,133.03586,2.51E-03,-2.51E-03,0.483,0,-0.446,2.7509,0.0766,-0.0766,6.93E+02,2.83E+01,-2.83E+01,2.57,7.20E-01,-3.10E-01,643,,,40.41,33.23,-12.7,26.9,1,q1_q17_dr25_tce,5774,156,-173,4.447,0.081,-0.189,0.958,0.268,-0.115,292.49963,46.324409,15.378
1373,9650808,K01970.02,Kepler-344 c,CONFIRMED,CANDIDATE,0.899,0,0,0,0,125.602323,1.11E-03,-1.11E-03,215.4336,6.29E-03,-6.29E-03,0.065,0.4,-0.065,7.105,0.206,-0.206,9.26E+02,4.11E+01,-4.11E+01,2.89,8.10E-01,-3.50E-01,360,,,3.95,3.25,-1.24,23.3,2,q1_q17_dr25_tce,5774,156,-173,4.447,0.081,-0.189,0.958,0.268,-0.115,292.49963,46.324409,15.378
1374,8950568,K02038.02,Kepler-85 c,CONFIRMED,CANDIDATE,1,0,0,0,0,12.51353325,6.15E-05,-6.15E-05,139.42461,4.07E-03,-4.07E-03,0.596,0.035,-0.47,4.301,0.157,-0.157,4.31E+02,1.64E+01,-1.64E+01,1.88,1.90E-01,-1.50E-01,706,,,58.69,18.63,-12.67,30,2,q1_q17_dr25_tce,5435,109,-109,4.495,0.063,-0.077,0.873,0.09,-0.068,290.97342,45.290321,14.779
1375,8950568,K02038.03,Kepler-85 d,CONFIRMED,CANDIDATE,0.889,0,0,0,0,17.9134215,2.15E-04,-2.15E-04,135.52921,9.27E-03,-9.27E-03,0.832,0.146,-0.587,4.364,0.244,-0.244,1.98E+02,1.85E+01,-1.85E+01,1.39,1.50E-01,-1.00E-01,626,,,36.38,11.55,-7.85,11.4,4,q1_q17_dr25_tce,5435,109,-109,4.495,0.063,-0.077,0.873,0.09,-0.068,290.97342,45.290321,14.779
1376,8950568,K02038.04,Kepler-85 e,CONFIRMED,CANDIDATE,0.998,0,0,0,0,25.2149143,3.99E-04,-3.99E-04,152.6912,1.56E-02,-1.56E-02,0.599,0.376,-0.389,5.76,0.514,-0.514,1.74E+02,2.38E+01,-2.38E+01,1.19,1.30E-01,-9.00E-02,559,,,23.05,7.31,-4.98,9.9,3,q1_q17_dr25_tce,5435,109,-109,4.495,0.063,-0.077,0.873,0.09,-0.068,290.97342,45.290321,14.779
1377,4725681,K00817.02,Kepler-236 b,CONFIRMED,CANDIDATE,0.995,0,0,0,0,8.29561738,2.37E-05,-2.37E-05,135.79284,2.19E-03,-2.19E-03,0.888,0.062,-0.612,1.3421,0.0773,-0.0773,8.24E+02,5.75E+01,-5.75E+01,1.82,1.00E-01,-1.50E-01,469,,,11.39,2.4,-2.65,17.9,2,q1_q17_dr25_tce,3747,75,-83,4.728,0.042,-0.025,0.524,0.03,-0.044,283.86639,39.898079,15.414
1380,11709244,K01832.01,Kepler-325 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.544436472,6.76E-06,-6.76E-06,134.90159,1.27E-03,-1.27E-03,0.731,0.162,-0.494,1.8141,0.0444,-0.0444,8.79E+02,2.41E+01,-2.41E+01,3,3.40E-01,-2.50E-01,1017,,,253.48,79.06,-52.84,42.5,1,q1_q17_dr25_tce,5445,81,-81,4.458,0.072,-0.096,0.937,0.105,-0.078,289.83542,49.82563,15.009
1381,11709244,K01832.02,Kepler-325 c,CONFIRMED,CANDIDATE,0.974,0,0,0,0,12.76220558,5.55E-05,-5.55E-05,143.73026,3.91E-03,-3.91E-03,0.955,0.012,-0.729,2.0688,0.0823,-0.0823,6.54E+02,4.34E+01,-4.34E+01,3.18,3.50E-01,-2.70E-01,721,,,63.86,19.92,-13.31,17.4,2,q1_q17_dr25_tce,5445,81,-81,4.458,0.072,-0.096,0.937,0.105,-0.078,289.83542,49.82563,15.009
1382,11709244,K01832.03,Kepler-325 d,CONFIRMED,CANDIDATE,0.999,0,0,0,0,38.7149617,2.51E-04,-2.51E-04,134.0313,5.00E-03,-5.00E-03,0.691,0.053,-0.494,3.441,0.164,-0.164,6.95E+02,4.63E+01,-4.63E+01,2.62,3.00E-01,-2.10E-01,498,,,14.55,4.53,-3.04,16.2,3,q1_q17_dr25_tce,5445,81,-81,4.458,0.072,-0.096,0.937,0.105,-0.078,289.83542,49.82563,15.009
1384,11853878,K01833.01,Kepler-968 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.69298623,7.32E-06,-7.32E-06,132.73624,1.60E-03,-1.60E-03,0.775,0.051,-0.531,1.7744,0.0543,-0.0543,7.63E+02,2.57E+01,-2.57E+01,1.74,1.50E-01,-1.50E-01,745,,,72.66,22.54,-19.48,33.9,1,q1_q17_dr25_tce,4402,118,-144,4.682,0.045,-0.036,0.572,0.049,-0.049,285.60254,50.112041,14.265
1385,5728139,K00206.01,Kepler-433 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.334082429,1.33E-06,-1.33E-06,131.981761,2.08E-04,-2.08E-04,0.045,0.052,-0.045,6.2226,0.00687,-0.00687,4.68E+03,8.30E+00,-8.30E+00,13.08,2.45E+00,-3.00E+00,1495,,,1180.64,571.89,-512.17,653.4,1,q1_q17_dr25_tce,6332,82,-75,4.016,0.18,-0.12,1.905,0.357,-0.437,297.59366,40.977268,14.463
1386,7668663,K01898.01,Kepler-1005 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.4980147,1.41E-05,-1.41E-05,136.00108,1.78E-03,-1.78E-03,0.92,0.015,-0.662,2.4384,0.0353,-0.0353,1.91E+02,5.40E+00,-5.40E+00,1.87,2.70E-01,-2.80E-01,1026,,,262.18,109.5,-86.92,41.2,1,q1_q17_dr25_tce,5727,104,-115,4.328,0.137,-0.112,1.104,0.164,-0.164,286.28601,43.320461,13.25
1387,7047922,K01899.01,Kepler-1006 b,CONFIRMED,CANDIDATE,0.975,0,0,0,0,19.76169247,6.98E-05,-6.98E-05,135.17794,2.80E-03,-2.80E-03,0.924,0.032,-0.639,3.9097,0.0871,-0.0871,3.93E+02,1.18E+01,-1.18E+01,2.81,9.40E-01,-6.20E-01,791,,,92.38,103.55,-53.14,35.3,1,q1_q17_dr25_tce,6327,291,-542,4.327,0.158,-0.193,1.175,0.389,-0.259,295.75412,42.537479,14.563
1388,9353314,K01900.01,Kepler-1007 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.18498961,1.16E-05,-1.16E-05,131.8814,1.85E-03,-1.85E-03,0.021,0.415,-0.021,2.1397,0.058,-0.058,4.30E+02,1.37E+01,-1.37E+01,1.15,9.00E-02,-1.20E-01,652,,,42.62,13.44,-12.09,36.4,1,q1_q17_dr25_tce,4325,131,-131,4.68,0.059,-0.027,0.56,0.045,-0.056,295.90656,45.80912,14.744
1390,9347009,K01971.01,Kepler-1030 b,CONFIRMED,CANDIDATE,1,0,0,0,0,19.32945602,9.04E-05,-9.04E-05,133.26717,3.56E-03,-3.56E-03,0.009,0.457,-0.009,3.794,0.122,-0.122,9.36E+02,4.02E+01,-4.02E+01,2.26,2.70E-01,-1.40E-01,529,,,18.57,7.7,-4.03,26.8,1,q1_q17_dr25_tce,5026,149,-149,4.604,0.02,-0.08,0.763,0.093,-0.046,293.68192,45.817558,15.719
1392,4917596,K01973.01,Kepler-1032 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.290114076,6.23E-06,-6.23E-06,133.15709,1.68E-03,-1.68E-03,0.203,0.248,-0.203,1.5151,0.0536,-0.0536,6.45E+02,2.57E+01,-2.57E+01,1.49,1.20E-01,-1.30E-01,802,,,97.96,29.97,-25.46,30.3,1,q1_q17_dr25_tce,4484,134,-134,4.654,0.054,-0.027,0.594,0.046,-0.051,289.93085,40.097752,15.753
1394,11046458,K00214.01,Kepler-424 b,CONFIRMED,CANDIDATE,1,0,0,0,0,3.311864148,3.55E-07,-3.55E-07,131.7427761,8.65E-05,-8.65E-05,0.905,0.005,-0.007,1.4049,0.0139,-0.0139,5.98E+03,2.42E+01,-2.42E+01,9.06,1.16E+00,-3.30E-01,1116,,,365.94,125.14,-46.03,448.2,1,q1_q17_dr25_tce,5461,73,-82,4.499,0.023,-0.12,0.937,0.12,-0.034,298.62488,48.57745,14.256
1396,7132798,K00220.01,Kepler-119 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.422084188,4.83E-07,-4.83E-07,132.940079,1.65E-04,-1.65E-04,0.058,0.229,-0.058,2.5613,0.00828,-0.00828,1.87E+03,5.20E+00,-5.20E+00,3.55,7.50E-01,-3.20E-01,1213,,,511.66,323.27,-136.32,423.7,1,q1_q17_dr25_tce,5598,149,-166,4.565,0.036,-0.144,0.83,0.176,-0.075,295.94641,42.65892,14.236
1398,9656252,K02044.01,Kepler-1068 b,CONFIRMED,CANDIDATE,1,0,0,0,0,16.92342126,5.95E-05,-5.95E-05,145.81407,2.80E-03,-2.80E-03,0.515,0.385,-0.307,4.1864,0.0904,-0.0904,1.13E+03,3.18E+01,-3.18E+01,3.4,5.00E-01,-2.20E-01,702,,,57.37,22.47,-9.99,40.8,1,q1_q17_dr25_tce,5786,78,-86,4.465,0.038,-0.12,0.99,0.147,-0.063,294.64816,46.392361,15.818
1399,6026438,K02045.01,Kepler-354 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.47665801,1.35E-05,-1.35E-05,135.70431,2.14E-03,-2.14E-03,0.788,0.127,-0.567,2.5482,0.0702,-0.0702,6.48E+02,2.28E+01,-2.28E+01,2.01,1.30E-01,-1.80E-01,741,,,71,18.57,-18.52,32.1,1,q1_q17_dr25_tce,4650,125,-139,4.589,0.048,-0.028,0.706,0.046,-0.061,285.75146,41.33564,15.549
1400,9471268,K01835.01,Kepler-326 c,CONFIRMED,CANDIDATE,1,0,0,0,0,4.580346161,7.04E-06,-7.04E-06,134.0754,1.31E-03,-1.31E-03,0.384,0.077,-0.384,2.097,0.0384,-0.0384,3.08E+02,6.80E+00,-6.80E+00,1.38,9.00E-02,-7.00E-02,889,,,147.56,33.76,-23.82,49.8,2,q1_q17_dr25_tce,5103,101,-101,4.558,0.032,-0.05,0.789,0.052,-0.037,294.32553,46.002251,13.693
1401,9471268,K01835.02,Kepler-326 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.248288213,2.61E-06,-2.61E-06,133.425805,9.57E-04,-9.57E-04,0.004,0.46,-0.004,2.0361,0.0311,-0.0311,2.63E+02,5.00E+00,-5.00E+00,1.25,8.00E-02,-6.00E-02,1127,,,380.75,87.12,-61.45,59.7,1,q1_q17_dr25_tce,5103,101,-101,4.558,0.032,-0.05,0.789,0.052,-0.037,294.32553,46.002251,13.693
1402,9471268,K01835.03,Kepler-326 d,CONFIRMED,CANDIDATE,1,0,0,0,0,6.76690759,1.44E-05,-1.44E-05,136.61633,1.80E-03,-1.80E-03,0.648,0.267,-0.42,1.7062,0.0533,-0.0533,2.49E+02,9.40E+00,-9.40E+00,1.31,9.00E-02,-6.00E-02,781,,,87.79,20.09,-14.17,29.7,3,q1_q17_dr25_tce,5103,101,-101,4.558,0.032,-0.05,0.789,0.052,-0.037,294.32553,46.002251,13.693
1403,10657406,K01837.01,Kepler-969 b,CONFIRMED,CANDIDATE,1,0,0,0,0,34.1732156,1.20E-04,-1.20E-04,137.78862,2.91E-03,-2.91E-03,0.815,0.004,-0.57,4.7679,0.0814,-0.0814,6.35E+02,1.74E+01,-1.74E+01,2.37,2.20E-01,-7.00E-02,465,,,11.09,3.11,-1.57,38.9,1,q1_q17_dr25_tce,5201,93,-114,4.573,0.01,-0.09,0.834,0.077,-0.026,288.3725,47.933559,13.733
1404,5526527,K01838.01,Kepler-970 b,CONFIRMED,CANDIDATE,1,0,0,0,0,16.7364755,1.40E-04,-1.40E-04,143.13606,6.82E-03,-6.82E-03,0.9,0.06,-0.603,2.151,0.212,-0.212,1.15E+03,1.43E+02,-1.43E+02,2.73,9.00E-02,-1.50E-01,464,,,10.99,1.61,-1.83,9.9,1,q1_q17_dr25_tce,4334,77,-77,4.618,0.04,-0.012,0.653,0.022,-0.035,289.62524,40.708729,14.786
1406,8766650,K01904.01,Kepler-1008 b,CONFIRMED,CANDIDATE,0.984,0,0,0,0,12.43929428,5.27E-05,-5.27E-05,136.37952,3.62E-03,-3.62E-03,0.663,0.034,-0.487,3.176,0.105,-0.105,2.54E+02,1.21E+01,-1.21E+01,1.3,6.00E-02,-9.00E-02,627,,,36.57,6.77,-7.29,24.9,1,q1_q17_dr25_tce,4987,99,,4.531,0.068,-0.023,0.773,0.036,-0.053,296.54752,44.941929,13.395
1407,10328393,K01905.01,Kepler-332 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.62635494,2.20E-05,-2.20E-05,136.01585,2.37E-03,-2.37E-03,0.237,0.215,-0.236,2.4168,0.0744,-0.0744,2.96E+02,1.04E+01,-1.04E+01,1.21,8.00E-02,-5.00E-02,703,,,57.89,13.26,-8.74,32.5,1,q1_q17_dr25_tce,4955,100,-100,4.61,0.018,-0.046,0.721,0.047,-0.029,286.66296,47.4137,14.017
1409,7094486,K01907.01,Kepler-1009 b,CONFIRMED,CANDIDATE,1,0,0,0,0,11.35010642,2.16E-05,-2.16E-05,134.04612,1.65E-03,-1.65E-03,0.035,0.398,-0.035,2.2792,0.0544,-0.0544,1.22E+03,3.66E+01,-3.66E+01,1.75,9.00E-02,-1.70E-01,403,,,6.25,1.21,-1.65,38.3,1,q1_q17_dr25_tce,3597,72,-86,4.734,0.052,-0.017,0.514,0.026,-0.051,282.85992,42.66576,15.278
1411,8543100,K01975.01,Kepler-1033 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,7.56052209,2.64E-05,-2.64E-05,134.47889,2.70E-03,-2.70E-03,0.022,0.394,-0.022,3.8573,0.0793,-0.0793,6.60E+02,2.22E+01,-2.22E+01,2.4,7.30E-01,-2.40E-01,914,,,164.9,144.89,-49.45,34.6,1,q1_q17_dr25_tce,5895,158,-211,4.503,0.052,-0.208,0.94,0.282,-0.094,283.84515,44.609089,15.986
1412,2693736,K01976.01,Kepler-1034 b,CONFIRMED,CANDIDATE,1,0,0,0,0,12.12401737,3.20E-05,-3.20E-05,134.955,2.37E-03,-2.37E-03,0.029,0.426,-0.029,3.3091,0.0679,-0.0679,7.88E+02,2.29E+01,-2.29E+01,2.37,1.10E-01,-2.00E-01,675,,,48.98,8.44,-10.18,40.1,1,q1_q17_dr25_tce,5094,83,-76,4.469,0.082,-0.033,0.87,0.042,-0.072,286.11536,37.966999,15.09
1413,9412760,K01977.01,Kepler-345 c,CONFIRMED,CANDIDATE,1,0,0,0,0,9.38740646,2.45E-05,-2.45E-05,137.38383,2.10E-03,-2.10E-03,0.946,0.015,-0.691,1.6165,0.0622,-0.0622,3.85E+02,2.00E+01,-2.00E+01,1.69,1.20E-01,-5.00E-02,575,,,25.83,6.25,-3.46,22.3,1,q1_q17_dr25_tce,4500,90,-90,4.656,0.012,-0.045,0.646,0.046,-0.02,295.22879,45.97102,14.028
1414,9412760,K01977.02,Kepler-345 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.41556471,5.36E-05,-5.36E-05,137.81512,6.13E-03,-6.13E-03,0.434,0.02,-0.434,1.973,0.194,-0.194,1.50E+02,1.56E+01,-1.56E+01,0.79,5.00E-02,-3.00E-02,622,,,35.37,8.57,-4.73,11.8,2,q1_q17_dr25_tce,4500,90,-90,4.656,0.012,-0.045,0.646,0.046,-0.02,295.22879,45.97102,14.028
1415,6026438,K02045.02,Kepler-354 d,CONFIRMED,FALSE POSITIVE,0.4,0,0,1,0,24.2101973,2.46E-04,-2.46E-04,141.4698,7.67E-03,-7.67E-03,0.45,0.501,-0.245,4.046,0.286,-0.286,4.58E+02,3.52E+01,-3.52E+01,1.5,1.00E-01,-1.30E-01,451,,,9.8,2.56,-2.56,14.1,2,q1_q17_dr25_tce,4650,125,-139,4.589,0.048,-0.028,0.706,0.046,-0.061,285.75146,41.33564,15.549
1416,10663396,K02046.01,Kepler-1069 b,CONFIRMED,CANDIDATE,1,0,0,0,0,23.8990075,1.28E-04,-1.28E-04,151.39847,4.31E-03,-4.31E-03,0.153,0.27,-0.153,15.955,0.121,-0.121,2.93E+02,5.50E+00,-5.50E+00,3.26,5.70E-01,-8.60E-01,823,,,108.3,50.64,-52.76,61.5,1,q1_q17_dr25_tce,5511,82,-74,3.914,0.21,-0.09,1.93,0.34,-0.51,290.97934,47.988998,13.153
1417,11457726,K02047.01,Kepler-1070 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.22161107,2.05E-05,-2.05E-05,131.99094,2.53E-03,-2.53E-03,0.838,0.074,-0.634,3.4117,0.0783,-0.0783,1.65E+02,6.40E+00,-6.40E+00,1.59,2.70E-01,-9.00E-02,1101,,,348.15,151.24,-52.79,29,1,q1_q17_dr25_tce,6277,75,-75,4.417,0.032,-0.12,1.097,0.186,-0.062,293.19537,49.316502,13.977
1418,8956206,K02048.01,Kepler-1071 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.17998508,1.55E-05,-1.55E-05,132.72278,2.07E-03,-2.07E-03,0.175,0.29,-0.175,2.1094,0.0684,-0.0684,7.51E+02,2.94E+01,-2.94E+01,2.12,1.40E-01,-1.10E-01,814,,,104.06,23.58,-18,29,1,q1_q17_dr25_tce,5149,103,-103,4.551,0.041,-0.045,0.791,0.051,-0.042,293.05801,45.248821,15.801
1419,9649706,K02049.01,Kepler-1072 b,CONFIRMED,CANDIDATE,1,0,0,0,0,1.569066598,3.06E-06,-3.06E-06,133.04032,1.71E-03,-1.71E-03,0.097,0.358,-0.097,2.7803,0.0469,-0.0469,1.47E+02,3.50E+00,-3.50E+00,1.68,2.80E-01,-3.40E-01,1849,,,2763.39,1157.65,-1098.21,48.7,1,q1_q17_dr25_tce,5821,69,-87,4.172,0.162,-0.108,1.395,0.228,-0.279,292.04437,46.329029,13.93
1420,5856571,K01839.01,Kepler-971 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.59068586,2.50E-05,-2.50E-05,132.68264,2.05E-03,-2.05E-03,0.359,0.075,-0.359,3.452,0.071,-0.071,5.45E+02,1.57E+01,-1.57E+01,3.93,2.28E+00,-2.28E+00,1087,,,329.34,606.17,-277.29,40,1,q1_q17_dr25_tce,5476,179,-146,3.904,0.693,-0.297,1.673,0.971,-0.971,284.09457,41.182819,13.237
1421,7765528,K01840.01,Kepler-972 b,CONFIRMED,CANDIDATE,1,0,0,0,0,7.03932913,1.75E-05,-1.75E-05,133.85433,2.00E-03,-2.00E-03,0.956,0.017,-0.043,3.514,0.226,-0.226,8.37E+02,2.70E+01,-2.70E+01,4.67,8.00E-01,-7.30E-01,1060,,,298.33,133.89,-97.29,48.6,1,q1_q17_dr25_tce,5846,79,-79,4.278,0.132,-0.108,1.24,0.213,-0.194,295.8287,43.425491,14.915
1422,11760231,K01841.01,Kepler-973 b,CONFIRMED,CANDIDATE,0.978,0,0,0,0,49.6075771,1.00E-04,-1.00E-04,138.41517,1.70E-03,-1.70E-03,0.764,0.015,-0.544,2.9575,0.0599,-0.0599,6.27E+02,1.62E+01,-1.62E+01,2.12,1.80E-01,-9.00E-02,402,,,6.17,1.67,-0.95,44.9,1,q1_q17_dr25_tce,5187,103,-103,4.592,0.014,-0.072,0.774,0.065,-0.033,290.16525,49.923859,13.218
1424,6046540,K00200.01,Kepler-74 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,7.340714946,8.05E-07,-8.05E-07,134.3457036,9.21E-05,-9.21E-05,0.568,0.022,-0.028,2.9987,0.0141,-0.0141,8.51E+03,1.27E+01,-1.27E+01,14.31,8.80E-01,-1.34E+00,1155,,,421.03,92.67,-106.78,856.3,1,q1_q17_dr25_tce,6056,120,-144,4.191,0.06,-0.045,1.498,0.093,-0.14,293.09253,41.355518,14.412
1425,5706966,K01908.01,Kepler-333 b,CONFIRMED,CANDIDATE,1,0,0,0,0,12.55111099,3.53E-05,-3.53E-05,137.26226,2.30E-03,-2.30E-03,0.519,0.047,-0.433,3.1293,0.0729,-0.0729,4.94E+02,1.64E+01,-1.64E+01,1.34,7.00E-02,-6.00E-02,480,,,12.56,2.38,-2.07,33.2,1,q1_q17_dr25_tce,4213,84,-84,4.669,0.024,-0.022,0.598,0.029,-0.029,292.28607,40.913589,14.731
